person,person_label,person_description,refurl,orderaus,award_name,honsid,date_awarded,sitelink
http://www.wikidata.org/entity/Q271211,Melanie Schlanger,"Australian swimmer, Olympic gold medallist, world champion, former world record-holder",NA,http://www.wikidata.org/entity/Q9682417,NA,1140120,2009-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Melanie_Schlanger
http://www.wikidata.org/entity/Q271208,Felicity Galvez,"Australian swimmer, Olympic gold medallist, world champion, former world record-holder",NA,http://www.wikidata.org/entity/Q9682417,NA,1139930,2009-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Felicity_Galvez
http://www.wikidata.org/entity/Q271586,Alisa Camplin,Australian freestyle skier,https://honours.pmc.gov.au/honours/awards/2004422,http://www.wikidata.org/entity/Q9678710,NA,2004422,2019-06-10T00:00:00Z,https://en.wikipedia.org/wiki/Alisa_Camplin
http://www.wikidata.org/entity/Q271586,Alisa Camplin,Australian freestyle skier,https://honours.pmc.gov.au/honours/awards/1133912,http://www.wikidata.org/entity/Q9682417,NA,1133912,2007-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Alisa_Camplin
http://www.wikidata.org/entity/Q271948,Rachel Ward,Australian actress and film director,https://honours.pmc.gov.au/honours/awards/1136046,http://www.wikidata.org/entity/Q9678710,NA,1136046,2005-06-13T00:00:00Z,https://en.wikipedia.org/wiki/Rachel_Ward
http://www.wikidata.org/entity/Q272065,Judy Tegart,Australian tennis player,https://honours.pmc.gov.au/honours/awards/2003462,http://www.wikidata.org/entity/Q9678710,NA,2003462,2019-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Judy_Tegart-Dalton
http://www.wikidata.org/entity/Q272139,Rechelle Hawkes,Australian field hockey player,NA,http://www.wikidata.org/entity/Q9678710,NA,2000846,2018-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Rechelle_Hawkes
http://www.wikidata.org/entity/Q272139,Rechelle Hawkes,Australian field hockey player,NA,http://www.wikidata.org/entity/Q9682417,NA,887284,1989-06-12T00:00:00Z,https://en.wikipedia.org/wiki/Rechelle_Hawkes
http://www.wikidata.org/entity/Q272215,Brooke Hanson,"Australian swimmer, Olympic gold medallist, world champion, former world record-holder",NA,http://www.wikidata.org/entity/Q9682417,NA,1057895,2005-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Brooke_Hanson
http://www.wikidata.org/entity/Q374949,Andrew Peacock,Australian politician,https://honours.pmc.gov.au/honours/awards/884373,http://www.wikidata.org/entity/Q9680541,NA,884373,1997-06-09T00:00:00Z,https://en.wikipedia.org/wiki/Andrew_Peacock
http://www.wikidata.org/entity/Q379430,Mike McKay,Australian rower,https://honours.pmc.gov.au/honours/awards/886848,http://www.wikidata.org/entity/Q9682417,NA,886848,1987-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Mike_McKay_(rower)
http://www.wikidata.org/entity/Q380133,Kiri Te Kanawa,New Zealand opera singer,https://honours.pmc.gov.au/honours/awards/870099,http://www.wikidata.org/entity/Q15280138,NA,870099,1990-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Kiri_Te_Kanawa
http://www.wikidata.org/entity/Q380487,Lincoln Hall,Australian mountaineer,https://honours.pmc.gov.au/honours/awards/887375,http://www.wikidata.org/entity/Q9682417,NA,887375,1987-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Lincoln_Hall_(climber)
http://www.wikidata.org/entity/Q381031,Sidney Nolan,Australian artist (1917-1992),https://honours.pmc.gov.au/honours/awards/870276,http://www.wikidata.org/entity/Q9680541,NA,870276,1988-06-13T00:00:00Z,https://en.wikipedia.org/wiki/Sidney_Nolan
http://www.wikidata.org/entity/Q381902,Gareth Evans,Australian international policymaker and former politician,https://honours.pmc.gov.au/honours/awards/1145727,http://www.wikidata.org/entity/Q9680541,NA,1145727,2012-06-11T00:00:00Z,https://en.wikipedia.org/wiki/Gareth_Evans_(politician)
http://www.wikidata.org/entity/Q381902,Gareth Evans,Australian international policymaker and former politician,https://honours.pmc.gov.au/honours/awards/884367,http://www.wikidata.org/entity/Q9684829,NA,884367,2001-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Gareth_Evans_(politician)
http://www.wikidata.org/entity/Q381941,Greg Norman,Australian professional golfer (born 1955),https://honours.pmc.gov.au/honours/awards/872555,http://www.wikidata.org/entity/Q9684829,NA,872555,1999-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Greg_Norman
http://www.wikidata.org/entity/Q391178,Simon Fairweather,Australian archer,NA,http://www.wikidata.org/entity/Q9682417,NA,887169,2001-01-26T00:00:00Z,https://en.wikipedia.org/wiki/Simon_Fairweather
